Name;Price;Review;Score;Category;Subcategory;Store;Image;URL;Platform
SanDisk High Endurance microSD 128GB (SDSQQNR-128G-GN6IA) สำหรับกล้องวงจรปิด ความเร็วสูงสุดอ่าน 100 MB/s เขียน 40 MB/s;649;7;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t4/33/1868818876/23630/a36963ae/5dde2471N202b1093.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_4348965.html;JDCentral
SanDisk Extreme Pro microSDXC 256GB A2 ความเร็วสูงสุด อ่าน 170MB/s เขียน 90MB/s (SDSQXCZ_256G_GN6MA);1,550;10;90;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t7/116/825763184/162033/8711a370/5d663b90N4fc8106e.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_3720715.html;JDCentral
TELESIN กันน้ำ 3 ทางมือจับไม้เซลฟี่ 2 ใน 1 ด้ามจับแบบลอยตัว Monopod + ขาตั้งกล้องสำหรับ GoPro Xiaomi YI SJCAM DJI Osmo Action;296;0;0;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;TELESIN Official Store;https://img.jd.co.th/n1/jfs/t13/10/3881078754/40179/48182b9c/5f65c2e8Na9e2460b.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_11372758.html;JDCentral
Sony (SONY) RMT-P1BT Wireless Bluetooth Remote Control;3,349;1;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;JOYBUY;https://img.jd.co.th/n1/jfs/t40/103/238480055/49205/ab8d7814/60d9bf98N0df1f7c6.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_5156467.html;JDCentral
(แพ็คคู่ 32GB สุดคุ้ม) Sandisk MicroSD Ultra Class 10 100MB/S (SDSQUNR-032G-GN3MN *2 ) รับประกัน 7ปี สีขาวเทา;307;74;96;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Sandisk Shop;https://img.jd.co.th/n1/jfs/t16/15/356797082/145385/469ab6db/5bfc9699N54ca5d60.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_2386039.html;JDCentral
HUAWEI HONOR WIRELESS BLUETOOTH TRIPOD SELFIE STICK (AF15) ไม้เซลฟี่บลูทูธ หมุนได้360องศา พร้อมรีโมท กว้างสูงสุด 3.5 นิ้ว;613;40;100;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Mac Modern Official Store;https://img.jd.co.th/n1/jfs/t28/273/84823376/62655/12075292/5c0a334bN5c9133e2.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_2445577.html;JDCentral
SanDisk Extreme Pro microSDXC 64GB A2 ความเร็วสูงสุด อ่าน 170MB/s เขียน 90MB/s mrm (SDSQXCY_064G_GN6MA);475;43;98;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t25/9/192819936/159783/9b1166b3/5bb644edN900a39c6.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1934788.html;JDCentral
ขาตั้งกล้องเเละมือถือได้ทุกรุ่นTF-3110 เเถม หัวหนีบมือถือฟรี;99;25;80;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;KNT SHOP;https://img.jd.co.th/n1/jfs/t4/134/660372685/145488/4e160f/5cdfc089Nd119b0ab.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_3204708.html;JDCentral
แพ็คคู่ 32GB สุดคุ้ม Sandisk Ultra MicroSD 120MB/S A1 (SDSQUA4-032G-GN6MN) 2 ชิ้น สุดคุ้ม ประกัน 10ปี (แดง เทา);378;60;98;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;Sandisk Shop;https://img.jd.co.th/n1/jfs/t22/29/2796869948/394523/f60935ba/5fd6eb1eNd9518534.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_2386073.html;JDCentral
SanDisk Extreme microSDXC UHS-I A2 64GB ความเร็วสูงสุด อ่าน 160MB/s เขียน 90MB/s mrm (SDSQXA2-064G-GN6MN);369;36;97;อุปกรณ์อิเล็กทรอนิกส์และแกดเจ็ต;อุปกรณ์เสริมกล้อง;SanDisk Official Store (Thailand);https://img.jd.co.th/n1/jfs/t13/363/193222204/162205/c0fa5ab0/5bb641b8N9548de68.jpg!q50.jpg.dpg;https://www.jd.co.th/product/A_P_J_1934795.html;JDCentral
