Name;brand;Price;historical_sold;Score;view_count;Category;Image;Platform;URL;rating_star;shop_location
PeriPage A6 💥ฟรีเคส+สติกเกอร์ 12 ม้วน💥;No Brand(ไม่มียี่ห้อ);999.0;6338;5641;712;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/cea0264d6194e269413b164bd33f26e2_tn;Shopee;https://shopee.co.th/PeriPage-A6-💥ฟรีเคส+สติกเกอร์-12-ม้วน💥-i.12837500.869482853;4.8452088452088455;จังหวัดปทุมธานี
Tsunami Protector Series Control Hub & Remote Control X1;Tsunami(สึนามิ);241.0;2124;686;1940;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/84f3ff17c4571fb20880f207ee0ed1e6_tn;Shopee;https://shopee.co.th/Tsunami-Protector-Series-Control-Hub-&-Remote-Control-X1-i.29350409.2896463750;4.757220216606498;จังหวัดกรุงเทพมหานคร
MAYSHOP  99FASH12 กระเป๋าโน๊ตบุ๊ค กระเป๋าเป้ กระเป๋าสะพายหลัง  รุ่น F612;No Brand(ไม่มียี่ห้อ);119.0;1145;651;2160;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/f168157633758ac7894f90a3fb5706b9_tn;Shopee;https://shopee.co.th/MAYSHOP--99FASH12-กระเป๋าโน๊ตบุ๊ค-กระเป๋าเป้-กระเป๋าสะพายหลัง--รุ่น-F612-i.126444641.9105523426;4.729357798165138;จังหวัดกรุงเทพมหานคร
สติกเกอร์แผ่นสไลด์ ปิด-เปิดเลนส์กล้อง สำหรับโทรศัพท์มือถือ แล็ปท็อป PC แท็ปเล็ต เพื่อความเป็นส่วนตัว;;5.0;1516;518;585;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/6da5aa2e9ca6f17e5f21d63c2c7e47c2_tn;Shopee;https://shopee.co.th/สติกเกอร์แผ่นสไลด์-ปิด-เปิดเลนส์กล้อง-สำหรับโทรศัพท์มือถือ-แล็ปท็อป-PC-แท็ปเล็ต-เพื่อความเป็นส่วนตัว-i.230327460.5060137129;4.855555555555555;ต่างประเทศ
MOUSE (เม้าส์) LOGITECH OPTICAL USB M100R (BLACK) - ประกัน 3 ปี;;158.0;1912;179;558;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/2732e19f6bcf0b98e5f949e02630907e_tn;Shopee;https://shopee.co.th/MOUSE-(เม้าส์)-LOGITECH-OPTICAL-USB-M100R-(BLACK)---ประกัน-3-ปี-i.43263481.1433727720;4.861271676300578;จังหวัดกรุงเทพมหานคร
KEYBOARD (คีย์บอร์ด) LOGITECH K120 USB (คีย์ ไทย-อังกฤษ) รับประกันถึง 3 ปี;Logitech(โลจิเทค);217.0;982;68;606;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/c8975354595884092a7387d2812fc250_tn;Shopee;https://shopee.co.th/KEYBOARD-(คีย์บอร์ด)-LOGITECH-K120-USB-(คีย์-ไทย-อังกฤษ)-รับประกันถึง-3-ปี-i.140788295.4742782989;4.888888888888889;จังหวัดปทุมธานี
เคสแป้นพิมพ์ซิลิโคน สำหรับ Macbook 11 12 13 15 16 New Air/Pro cip M1 2020 A2159/A2251/A2289/A2338 A1932/ A2179/A2337;No Brand(ไม่มียี่ห้อ);33.0;1111;276;568;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/1d03372d54efbb63cce36ce8e3989792_tn;Shopee;https://shopee.co.th/เคสแป้นพิมพ์ซิลิโคน-สำหรับ-Macbook-11-12-13-15-16-New-Air/Pro-cip-M1-2020-A2159/A2251/A2289/A2338-A1932/-A2179/A2337-i.362369943.3383010136;4.866180048661801;จังหวัดสมุทรปราการ
[ ของแท้ พร้อมส่ง ] Baseus กระเป๋าโน๊ตบุ๊ค laptop bag for macbook notebook case กระเป๋า laptop กระเป๋าแล็ปท็อป;;289.0;354;257;1590;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/369c63b74d0ede1c60d675ba76af3117_tn;Shopee;https://shopee.co.th/[-ของแท้-พร้อมส่ง-]-Baseus-กระเป๋าโน๊ตบุ๊ค-laptop-bag-for-macbook-notebook-case-กระเป๋า-laptop-กระเป๋าแล็ปท็อป-i.114770449.9030781784;4.928571428571429;จังหวัดกรุงเทพมหานคร
แผ่นซีดี ดีวีดีเปล่า Ridata  CD-R,DVD-R;;20.0;1199;76;267;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/efce1e90b16fc638bf7eb382928db717_tn;Shopee;https://shopee.co.th/แผ่นซีดี-ดีวีดีเปล่า-Ridata--CD-R,DVD-R-i.235775065.4927941115;4.733695652173913;จังหวัดปทุมธานี
ใส่โค้ด BYJAME100 ลดทันที 10% [พร้อมส่ง] ลำโพงบลูทูธ กันน้ำ ลำโพง Bluetooth ติดผนัง;;69.0;2343;3166;9754;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/e3c1511629ef0a521a17214a7c98883f_tn;Shopee;https://shopee.co.th/ใส่โค้ด-BYJAME100-ลดทันที-10%-[พร้อมส่ง]-ลำโพงบลูทูธ-กันน้ำ-ลำโพง-Bluetooth-ติดผนัง-i.458953357.8664708859;4.680981595092025;จังหวัดพิจิตร
ลำโพง BOOMS BASS​ รุ่น L17 (แบรนด์แท้) ขายดีอันดับ 1 ลำโพงบลูทูธ ลำโพงไร้สาย ลำโพงพกพา ลำโพงเบสแน่น เสียงดี ลำโพงราคาถูก;;329.0;1379;511;5207;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/22cf032b707566c8f0dd2a61ff5f8650_tn;Shopee;https://shopee.co.th/ลำโพง-BOOMS-BASS​-รุ่น-L17-(แบรนด์แท้)-ขายดีอันดับ-1-ลำโพงบลูทูธ-ลำโพงไร้สาย-ลำโพงพกพา-ลำโพงเบสแน่น-เสียงดี-ลำโพงราคาถูก-i.317589932.5856160265;4.849220103986135;จังหวัดนครปฐม
แบตเตอรี่ โน๊ตบุ๊ค Battery Notebook Dell Inspiron 5567 7460 Series Type : WDX0R / WDXOR ประกัน 1ปี;;1390.0;442;86;366;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/b4052669531627466d0b5a504b1e1140_tn;Shopee;https://shopee.co.th/แบตเตอรี่-โน๊ตบุ๊ค-Battery-Notebook-Dell-Inspiron-5567-7460-Series-Type-:-WDX0R-/-WDXOR-ประกัน-1ปี-i.100797173.9112509910;4.9036697247706424;จังหวัดกรุงเทพมหานคร
ขายแล้วกว่า 2000 ชิ้น Dell Combo set KB216 Multimedia Keyboard + Dell MS116 USB DELL OPTICAL MOUSE;;315.0;1293;259;659;อุปกรณ์เสริมคอมพิวเตอร์;https://cf.shopee.co.th/file/4b7705a2d0f7d80d8f226f73fa0c558b_tn;Shopee;https://shopee.co.th/ขายแล้วกว่า-2000-ชิ้น-Dell-Combo-set-KB216-Multimedia-Keyboard-+-Dell-MS116-USB-DELL-OPTICAL-MOUSE-i.273678737.5140316655;4.909090909090909;จังหวัดกรุงเทพมหานคร
แผ่นรองเมาส์ เกมมิ่ง Fate Stay Night  Mouse Pad ขนาด 80x30 cm ( แผ่นรองเม้าส์ );No Brand(ไม่มียี่ห้อ);89.0;340;230;541;อุปกรณ์สำหรับเล่นเกม;https://cf.shopee.co.th/file/5968d31e345baa9ee651ab5b77a01956_tn;Shopee;https://shopee.co.th/แผ่นรองเมาส์-เกมมิ่ง-Fate-Stay-Night--Mouse-Pad-ขนาด-80x30-cm-(-แผ่นรองเม้าส์-)-i.7400683.2317691179;4.876404494382022;จังหวัดปราจีนบุรี
mouse pad แผ่นรองเม้าส์ ที่รองเม้าส์ เกมมิ่ง ขนาดใหญ่;;89.0;1454;451;1084;อุปกรณ์สำหรับเล่นเกม;https://cf.shopee.co.th/file/6dda69d35c3b6464b977d31288bdbef9_tn;Shopee;https://shopee.co.th/mouse-pad-แผ่นรองเม้าส์-ที่รองเม้าส์-เกมมิ่ง-ขนาดใหญ่-i.17485127.1010708024;4.796101949025488;จังหวัดนนทบุรี
